doi,title
10.7717/peerj.2919,Brood size and sex ratio in response to host quality and wasp traits in the gregarious parasitoid Oomyzus sokolowskii (Hymenoptera: Eulophidae)
10.7717/peerj.2868,Italian and Swedish adolescents: Differences and associations in subjective well-being and psychological well-being
10.7717/peerj.2792,Social and environmental factors modulate leucocyte profiles in free-living Greylag geese (Anser anser)
10.7717/peerj.2942,RelocaTE2: A high resolution transposable element insertion site mapping tool for population resequencing
10.7717/peerj.2999,Effect of interleukin (IL)-35 on IL-17 expression and production by human CD4+ T cells
10.7717/peerj.3196,Sevoflurane postconditioning protects the myocardium against ischemia/reperfusion injury via activation of the JAK2-STAT3 pathway
10.7717/peerj.2949,Expanding our understanding of the trade in marine aquarium animals
10.7717/peerj.2844,Determining virus-host interactions and glycerol metabolism profiles in geographically diverse solar salterns with metagenomics
10.7717/peerj.2903,A systematic review of animal predation creating pierced shells: Implications for the archaeological record of the Old World
10.7717/peerj.3340,Effects of knee sleeves on coordination of lower-limb segments in healthy adults during level walking and one-leg hopping
10.7717/peerj.3010,Construction patterns of birds' nests provide insight into nest-building behaviours
10.7717/peerj.3423,Microbial bioenergetics of coral-algal interactions
10.7717/peerj.3408,Comparative transcriptome analysis of isonuclear-alloplasmic lines unmask key transcription factor genes and metabolic pathways involved in sterility of maize CMS-C
10.7717/peerj.3251,Pitfalls associated with evaluating enzymatic quorum quenching activity: The case of MomL and its effect on Pseudomonas aeruginosa and Acinetobacter baumannii biofilms
10.7717/peerj.3245,On the entry of an emerging arbovirus into host cells: Mayaro virus takes the highway to the cytoplasm through fusion with early endosomes and caveolae- derived vesicles
10.7717/peerj.3549,"Egg clutch dehydration induces early hatching in red-eyed treefrogs, Agalychnis callidryas"
10.7717/peerj.3578,A laid-back trip through the Hennigian forests
10.7717/peerj.3238,A simple equation to estimate body fat percentage in children with overweightness or obesity: A retrospective study
10.7717/peerj.3599,A mutualism without honeydew: What benefits for Melissotarsus emeryi ants and armored scale insects (Diaspididae)?
10.7717/peerj.3062,Can video playback provide social information for foraging blue tits?
10.7717/peerj.2882,Differences in pollination success between local and foreign flower color phenotypes: A translocation experiment with Gentiana lutea (Gentianaceae)
10.7717/peerj.2909,Selection and evaluation of reference genes for analysis of mouse (Mus musculus) sex-dimorphic brain development
10.7717/peerj.3582,Characterisation of microsatellite and SNP markers from Miseq and genotyping-by-sequencing data among parapatric Urophora cardui (Tephritidae) populations
10.7717/peerj.3719,Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery and regeneration following injury
10.7717/peerj.2873,Comparison of different sample preparation methods for platinum determination in cultured cells by graphite furnace atomic absorption spectrometry
10.7717/peerj.3689,"Diversity of compounds in femoral secretions of Galápagos iguanas (genera: Amblyrhynchus and Conolophus), and their potential role in sexual communication in lek-mating marine iguanas (Amblyrhynchus cristatus)"
10.7717/peerj.3194,Arrival and diversification of mabuyine skinks (squamata: Scincidae) in the neotropics based on a fossil-calibrated timetree
10.7717/peerj.2965,Catchments catch all in South African coastal lowlands: Topography and palaeoclimate restricted gene flow in Nymania capensis (Meliaceae)- a multilocus phylogeographic and distribution modelling approach
10.7717/peerj.3779,Particle bombardment and subcellular protein localization analysis in the aquatic plant Egeria densa
10.7717/peerj.3197,Floral pathway integrator gene expression mediates gradual transmission of environmental and endogenous cues to flowering time
10.7717/peerj.3050,Real-time monitoring of superoxide anion radical generation in response to wounding: Electrochemical study
10.7717/peerj.3167,Preliminary observations on the age and growth of dog snapper (Lutjanus jocu) and mahogany snapper (Lutjanus mahogoni) from the Southeastern U.S.
10.7717/peerj.3761,"Impacts of land use and invasive species on native avifauna of Mo'orea, French Polynesia"
10.7717/peerj.3306,Self-centeredness and selflessness: Happiness correlates and mediating psychological processes
10.7717/peerj.2875,Aggregations and parental care in the Early Triassic basal cynodonts Galesaurus planiceps and Thrinaxodon liorhinus
10.7717/peerj.3001,A functional approach to the body condition assessment of lactating donkeys as a tool for welfare evaluation
10.7717/peerj.3597,The bivalve Thyasira cf. gouldi hosts chemoautotrophic symbiont populations with strain level diversity
10.7717/peerj.3617,Geometric morphometrics reveals sex-differential shape allometry in a spider
10.7717/peerj.3890,voomDDA: Discovery of diagnostic biomarkers and classification of RNA-seq data
10.7717/peerj.3096,Vector competence of Anopheles and Culex mosquitoes for Zika virus
10.7717/peerj.3543,A longitudinal study of the diabetic skin and wound microbiome
10.7717/peerj.2920,Untargeted metabolomics approach for unraveling robust biomarkers of nutritional status in fasted gilthead sea bream (Sparus aurata)
10.7717/peerj.3120,Evaluating multi-locus phylogenies for species boundaries determination in the genus Diaporthe
10.7717/peerj.3119,"Aspects of gorgonopsian paleobiology and evolution: Insights from the basicranium, occiput, osseous labyrinth, vasculature, and neuroanatomy"
10.7717/peerj.3629,Freeze-thaw decellularization of the trabecular meshwork in an ex vivo eye perfusion model
10.7717/peerj.2918,Halocarbon emissions by selected tropical seaweeds: Species-specific and compoundspecific responses under changing pH
10.7717/peerj.3037,"The complete chloroplast genome sequence of Morus cathayana and Morus multicaulis, and comparative analysis within genus Morus L"
10.7717/peerj.3152,Trypanosoma cruzi reservoir-triatomine vector co-occurrence networks reveal meta-community effects by synanthropic mammals on geographic dispersal
10.7717/peerj.3351,Construct validity and test-retest reliability of the International Fitness Scale (IFIS) in Colombian children and adolescents aged 9-17.9 years: The FUPRECOL study
10.7717/peerj.3220,Avian community structure and habitat use of Polylepis forests along an elevation gradient
10.7717/peerj.3084,Quantitative and correlation analysis of the DNA methylation and expression of DAPK in breast cancer
10.7717/peerj.3454,Ecophylogeny of the endospheric root fungal microbiome of co-occurring Agrostis stolonifera
10.7717/peerj.3571,"Clinical streptococcal isolates, distinct from Streptococcus pneumoniae, but containing the β-glucosyltransferase tts gene and expressing serotype 37 capsular polysaccharide"
10.7717/peerj.3413,Experience-based human perception of facial expressions in Barbary macaques (Macaca sylvanus)
10.7717/peerj.3613,Plantar pressure distribution of ostrich during locomotion on loose sand and solid ground
10.7717/peerj.2917,Polymorphism in the major histocompatibility complex (MHC class II B) genes of the Rufous-backed Bunting (Emberiza jankowskii)
10.7717/peerj.2911,"Species-specific pharmacology of maximakinin, an amphibian homologue of bradykinin: Putative prodrug activity at the human B2 receptor and peptidase resistance in rats"
10.7717/peerj.3586,Single phase computed tomography is equivalent to dual phase method for localizing hyperfunctioning parathyroid glands in patients with primarym: A retrospective review
10.7717/peerj.3683,Lionfish (Pterois spp.) invade the upper- bathyal zone in the western Atlantic
10.7717/peerj.3679,Genes of the major histocompatibility complex highlight interactions of the innate and adaptive immune system
10.7717/peerj.3620,Urbanization alters communities of flying arthropods in parks and gardens of a medium-sized city
10.7717/peerj.3204,"Porites superfusa mortality and recovery from a bleaching event at Palmyra Atoll, USA"
10.7717/peerj.3509,GeNNet: An integrated platform for unifying scientific workflows and graph databases for transcriptome data analysis
10.7717/peerj.3182,"The importance of scale-dependent ravine characteristics on breeding-site selection by the Burrowing Parrot, Cyanoliseus patagonus"
10.7717/peerj.3359,No relationship between vertebral column shifts and limb fluctuating asymmetry in human foetuses
10.7717/peerj.3331,"Serotonergic activation during courtship and aggression in the brown anole, Anolis sagrei"
10.7717/peerj.2890,"Intra-specific variation and allometry of the skull of Late Cretaceous side-necked turtle Bauruemys elegans (Pleurodira, Podocnemididae) and how to deal with morphometric data in fossil vertebrates"
10.7717/peerj.3815,Are diversification rates and chromosome evolution in the temperate grasses (Pooideae) associated with major environmental changes in the Oligocene-Miocene?
10.7717/peerj.3705,Assessing the living and dead proportions of cold-water coral colonies: Implications for deep-water Marine Protected Area monitoring in a changing ocean
10.7717/peerj.3889,Accuracy of microbial community diversity estimated by closed- and open-reference OTUs
10.7717/peerj.3812,Ananke: Temporal clustering reveals ecological dynamics of microbial communities
10.7717/peerj.3164,The adaptive value of habitat preferences from a multi-scale spatial perspective: Insights from marsh-nesting avian species
10.7717/peerj.3018,"Coat of many colours-DNA reveals polymorphism of mantle patterns and colouration in Caribbean Cyphoma Röding, 1798 (Gastropoda, Ovulidae)"
10.7717/peerj.2924,"Exploration of immunoglobulin transcriptomes from mice immunized with three-finger toxins and phospholipases A2 from the Central American coral snake, Micrurus nigrocinctus"
10.7717/peerj.3156,"Influences of ABO blood group, age and gender on plasma coagulation factor VIII, fibrinogen, von Willebrand factor and ADAMTS13 levels in a Chinese population"
10.7717/peerj.3234,"DNA Barcoding analysis of seafood accuracy in Washington, D.C. restaurants"
10.7717/peerj.3839,"Slower EEG alpha generation, synchronization and ""flow""-possible biomarkers of cognitive impairment and neuropathology of minor stroke"
10.7717/peerj.3930,Bacterial and fungal communities respond differently to varying tillage depth in agricultural soils
10.7717/peerj.3937,"Microbial community diversity patterns are related to physical and chemical differences among temperate lakes near Beaver Island, MI"
10.7717/peerj.3880,Investigating the level of agreement of two positioning protocols when using dual energy X-ray absorptiometry in the assessment of body composition
10.7717/peerj.3047,Genomic analysis of ST88 communityacquired methicillin resistant Staphylococcus aureus in Ghana
10.7717/peerj.3512,Recombinant expression in E. coli of human FGFR2 with its transmembrane and extracellular domains
10.7717/peerj.3480,"Segal's Law, 16S rRNA gene sequencing, and the perils of foodborne pathogen detection within the American Gut Project"
10.7717/peerj.3487,Primary health clinic toilet/bathroom surface swab sampling can indicate community profile of sexually transmitted infections
10.7717/peerj.3412,Piwi1 is essential for gametogenesis in mollusk Chlamys farreri
10.7717/peerj.3094,Interacting effects of early dietary conditions and reproductive effort on the oxidative costs of reproduction
10.7717/peerj.3483,Ureteral stricture formation after removal of proximal ureteral stone: Retroperitoneal laparoscopic ureterolithotomy versus ureteroscopy with holmium: YAG laser lithotripsy
10.7717/peerj.3016,Neogene paleogeography provides context for understanding the origin and spatial distribution of cryptic diversity in a widespread balkan freshwater amphipod
10.7717/peerj.3514,A highly pathogenic porcine reproductive and respiratory syndrome virus candidate vaccine based on Japanese encephalitis virus replicon system
10.7717/peerj.3460,In vitro assessment of anti-proliferative effect induced by α-mangostin from Cratoxylum arborescens on HeLa cells
10.7717/peerj.2733,Comparative analysis of the RotarixTM vaccine strain and G1P[8] rotaviruses detected before and after vaccine introduction in Belgium
10.7717/peerj.3080,Are floating algal mats a refuge from hypoxia for estuarine invertebrates?
10.7717/peerj.2916,Evolutionary origins of the emergent ST796 clone of vancomycin resistant Enterococcus faecium
10.7717/peerj.3708,Genomic evidence of bitter taste in snakes and phylogenetic analysis of bitter taste receptor genes in reptiles
10.7717/peerj.3656,"Quercivorol as a lure for the polyphagous and Kuroshio shot hole borers, Euwallacea spp. nr. fornicatus (Coleoptera: Scolytinae), vectors of Fusarium dieback"
10.7717/peerj.3704,Fluctuating selection across years and phenotypic variation in food-deceptive orchids
10.7717/peerj.3637,"Trophic analysis of the fish community in the Ciénega Churince, Cuatro Ciénegas, Coahuila"
10.7717/peerj.3784,Lectins: An effective tool for screening of potential cancer biomarkers
10.7717/peerj.3777,Impact of litter quantity on the soil bacteria community during the decomposition of Quercus wutaishanica litter
10.7717/peerj.3716,Current practice in the management of new-onset atrial fibrillation in critically ill patients: A UK-wide survey
10.7717/peerj.3787,Biochemical and structural characterization of a novel arginine kinase from the spider Polybetes pythagoricus
10.7717/peerj.3126,Improving ancient DNA genome assembly
10.7717/peerj.3191,Calcification and growth rate recovery of the reef-building Pocillopora species in the northeast tropical Pacific following an ENSO disturbance
10.7717/peerj.3772,The landscape of fear conceptual framework: Definition and review of current applications and misuses
10.7717/peerj.3180,Impact of isolation method on doubling time and the quality of chondrocyte and osteoblast differentiated from murine dental pulp stem cells
10.7717/peerj.3279,Effect of the molecular weight of water-soluble chitosan on its fat-/cholesterol-binding capacities and inhibitory activities to pancreatic lipase
10.7717/peerj.3459,African penguins follow the gaze direction of conspeciﬁcs
10.7717/peerj.3184,Molecular assessment of the fecal microbiota in healthy cats and dogs before and during supplementation with fructo-oligosaccharides (FOS) and inulin using high-throughput 454- pyrosequencing
10.7717/peerj.3326,Foraging behaviour of an egg parasitoid exploiting plant volatiles induced by pentatomids: The role of adaxial and abaxial leaf surfaces
10.7717/peerj.3025,"Neogene amphibians and reptiles (caudata, anura, gekkota, lacertilia, and testudines) from the south of Western Siberia, Russia, and Northeastern Kazakhstan"
10.7717/peerj.3718,Asymmetric responses to simulated global warming by populations of Colobanthus quitensis along a latitudinal gradient
10.7717/peerj.3830,MazF activation promotes translational heterogeneity of the grcA mRNA in Escherichia coli populations
10.7717/peerj.3566,"RNA sequencing (RNA-Seq) of lymph node, spleen, and thymus transcriptome from wild Peninsular Malaysian cynomolgus macaque (Macaca fascicularis)"
10.7717/peerj.3851,Functional modularity in lake-dwelling characin fishes of Mexico
10.7717/peerj.3537,Atrial fibrillation and psychological factors: A systematic review
10.7717/peerj.2966,A new glimpse on Mesozoic zooplankton-150 million-year-old lobster larvae
10.7717/peerj.3200,Rates of morphological evolution in Captorhinidae: An adaptive radiation of Permian herbivores
10.7717/peerj.3804,Increased utilization of fructose has a positive effect on the development of breast cancer
10.7717/peerj.3902,Illegal use of natural resources in federal protected areas of the Brazilian Amazon
10.7717/peerj.2969,Phylogenetic factorization of compositional data yields lineage-level associations in microbiome datasets
10.7717/peerj.3028,The effects of elevated pain inhibition on endurance exercise performance
10.7717/peerj-cs.103,SymPy: Symbolic computing in Python
10.7717/peerj.3935,MGST2 and WNT2 are candidate genes for comitant strabismus susceptibility in Japanese patients
10.7717/peerj.2839,Transcriptomic response of maize primary roots to low temperatures at seedling emergence
10.7717/peerj.2929,"Floral vasculature and its variation for carpellary supply in Anthurium (Araceae, Alismatales)"
10.7717/peerj.3388,Infrared thermography applied to lower limb muscles in elite soccer players with functional ankle equinus and non-equinus condition
10.7717/peerj.3550,"Expression, refolding and spectroscopic characterization of fibronectin type III (FnIII)-homology domains derived from human fibronectin leucine rich transmembrane protein (FLRT)-1, -2, and -3"
10.7717/peerj.3378,Information and decision-making needs of psychiatric patients: The perspective of relatives
10.7717/peerj.3590,Identifying genes and regulatory pathways associated with the scleractinian coral calcification process
10.7717/peerj.3583,The ability of Reciproc instruments to reach full working length without glide path preparation: A clinical retrospective study
10.7717/peerj.3373,Eocene Loranthaceae pollen pushes back divergence ages for major splits in the family
10.7717/peerj.2861,Transcriptomic analysis of diplomonad parasites reveals a trans-spliced intron in a helicase gene in Giardia
10.7717/peerj.2802,Sharing refuges on arid islands: Ecological and social influence on aggregation behaviour of wall geckos
10.7717/peerj.2963,Screening of faba bean (Vicia faba L.) accessions to acidity and aluminium stresses
10.7717/peerj.2927,Trace elements during primordial plexiform network formation in human cerebral organoids
10.7717/peerj.3682,MicroRNAs tend to synergistically control expression of genes encoding extensively-expressed proteins in humans
10.7717/peerj.3389,Modeling the cis-regulatory modules of genes expressed in developmental stages of Drosophila melanogaster
10.7717/peerj.3071,Sorghum and wheat differentially affect caecal microbiota and associated performance characteristics of meat chickens
10.7717/peerj.2797,Osmolyte regulation by TonEBP/NFAT5 during anoxia-recovery and dehydration- rehydration stresses in the freeze-tolerant wood frog (Rana sylvatica)
10.7717/peerj.3381,"A fossil unicorn crestfish (Teleostei, Lampridiformes, Lophotidae) from the Eocene of Iran"
10.7717/peerj.3670,Planting of neonicotinoid-coated corn raises honey bee mortality and sets back colony development
10.7717/peerj.3725,Chloroplast genome expansion by intron multiplication in the basal psychrophilic euglenoid Eutreptiella pomquetensis
10.7717/peerj.3803,Awareness about antibiotic resistance in a self-medication user group from Eastern Romania: A pilot study
10.7717/peerj.3303,Transcriptome analyses provide insights into the difference of alkaloids biosynthesis in the Chinese goldthread (Coptis chinensis Franch.) from different biotopes
10.7717/peerj.3173,Quantitative assessment of fibroblast growth factor receptor 1 expression in neurons and glia
10.7717/peerj.3222,The behavioral response of prey fish to predators: The role of predator size
10.7717/peerj.3536,Effect of freshwater mussels on the vertical distribution of anaerobic ammonia oxidizers and other nitrogentransforming microorganisms in upper Mississippi river sediment
10.7717/peerj.3302,Body composition estimation from selected slices: Equations computed from a new semi-automatic thresholding method developed on whole-body CT scans
10.7717/peerj.3418,c-Kit modifies the inflammatory status of smooth muscle cells
10.7717/peerj.3386,The development of curvature in the porcine radioulna
10.7717/peerj.2892,An examination of factors potentially influencing birth distributions in golden snub-nosed monkeys (Rhinopithecus roxellana)
10.7717/peerj.3732,"Coral larvae for restoration and research: A large-scale method for rearing Acropora millepora larvae, inducing settlement, and establishing symbiosis"
10.7717/peerj.3778,Calcitonin receptor expression in medullary thyroid carcinoma
10.7717/peerj.3604,Ducks change wintering patterns due to changing climate in the important wintering waters of the Odra river Estuary
10.7717/peerj.3059,True's beaked whale (Mesoplodon mirus) in macaronesia
10.7717/peerj.3058,A supertree pipeline for summarizing phylogenetic and taxonomic information for millions of species
10.7717/peerj.2889,The DNA methylation level against the background of the genome size and theterochromatin content in some species of the genus Secale L
10.7717/peerj.3063,Differential attraction of drosophilids to banana baits inoculated with Saccharomyces cerevisiae and Hanseniaspora uvarum within a Neotropical forest remnant
10.7717/peerj.2984,Counting complete? Finalising the plant inventory of a global biodiversity hotspot
10.7717/peerj.2803,Microbial communities mediating algal detritus turnover under anaerobic conditions
